Time	GS-2
01.01.2015 00:00	0.000
01.01.2015 01:00	0.000
01.01.2015 02:00	0.002
01.01.2015 03:00	0.003
01.01.2015 04:00	0.004
01.01.2015 05:00	0.004
01.01.2015 06:00	0.003
01.01.2015 07:00	0.003
01.01.2015 08:00	0.005
01.01.2015 09:00	0.008
01.01.2015 10:00	0.038
01.01.2015 11:00	0.089
01.01.2015 12:00	0.096
01.01.2015 13:00	0.053
01.01.2015 14:00	0.003
01.01.2015 15:00	0.000
01.01.2015 16:00	0.000
01.01.2015 17:00	0.000
01.01.2015 18:00	0.000
01.01.2015 19:00	0.000
01.01.2015 20:00	0.048
01.01.2015 21:00	0.184
01.01.2015 22:00	0.140
01.01.2015 23:00	0.085
02.01.2015 00:00	0.053
02.01.2015 01:00	0.031
02.01.2015 02:00	0.006
02.01.2015 03:00	0.003
02.01.2015 04:00	0.001
02.01.2015 05:00	0.001
02.01.2015 06:00	0.002
02.01.2015 07:00	0.004
02.01.2015 08:00	0.012
02.01.2015 09:00	0.000
02.01.2015 10:00	0.000
02.01.2015 11:00	0.000
02.01.2015 12:00	0.000
02.01.2015 13:00	0.000
02.01.2015 14:00	0.000
02.01.2015 15:00	0.000
02.01.2015 16:00	0.000
02.01.2015 17:00	0.000
02.01.2015 18:00	0.000
02.01.2015 19:00	0.000
02.01.2015 20:00	0.000
02.01.2015 21:00	0.000
02.01.2015 22:00	0.007
02.01.2015 23:00	0.039
03.01.2015 00:00	0.086
03.01.2015 01:00	0.062
03.01.2015 02:00	0.022
03.01.2015 03:00	0.043
03.01.2015 04:00	0.062
03.01.2015 05:00	0.045
03.01.2015 06:00	0.036
03.01.2015 07:00	0.041
03.01.2015 08:00	0.041
03.01.2015 09:00	0.028
03.01.2015 10:00	0.025
03.01.2015 11:00	0.026
03.01.2015 12:00	0.037
03.01.2015 13:00	0.050
03.01.2015 14:00	0.047
03.01.2015 15:00	0.040
03.01.2015 16:00	0.027
03.01.2015 17:00	0.007
03.01.2015 18:00	0.000
03.01.2015 19:00	0.000
03.01.2015 20:00	0.000
03.01.2015 21:00	0.000
03.01.2015 22:00	0.000
03.01.2015 23:00	0.000
04.01.2015 00:00	0.000
04.01.2015 01:00	0.000
04.01.2015 02:00	0.000
04.01.2015 03:00	0.000
04.01.2015 04:00	0.000
04.01.2015 05:00	0.000
04.01.2015 06:00	0.000
04.01.2015 07:00	0.000
04.01.2015 08:00	0.000
04.01.2015 09:00	0.000
04.01.2015 10:00	0.000
04.01.2015 11:00	0.000
04.01.2015 12:00	0.000
04.01.2015 13:00	0.000
04.01.2015 14:00	0.000
04.01.2015 15:00	0.000
04.01.2015 16:00	0.000
04.01.2015 17:00	0.000
04.01.2015 18:00	0.000
04.01.2015 19:00	0.000
04.01.2015 20:00	0.000
04.01.2015 21:00	0.000
04.01.2015 22:00	0.000
04.01.2015 23:00	0.000
05.01.2015 00:00	0.000
05.01.2015 01:00	0.000
05.01.2015 02:00	0.000
05.01.2015 03:00	0.000
05.01.2015 04:00	0.000
05.01.2015 05:00	0.000
05.01.2015 06:00	0.000
05.01.2015 07:00	0.000
05.01.2015 08:00	0.000
05.01.2015 09:00	0.000
05.01.2015 10:00	0.000
05.01.2015 11:00	0.000
05.01.2015 12:00	0.000
05.01.2015 13:00	0.000
05.01.2015 14:00	0.000
05.01.2015 15:00	0.000
05.01.2015 16:00	0.000
05.01.2015 17:00	0.000
05.01.2015 18:00	0.000
05.01.2015 19:00	0.006
05.01.2015 20:00	0.045
05.01.2015 21:00	0.056
05.01.2015 22:00	0.059
05.01.2015 23:00	0.067
06.01.2015 00:00	0.047
06.01.2015 01:00	0.043
06.01.2015 02:00	0.049
06.01.2015 03:00	0.042
06.01.2015 04:00	0.035
06.01.2015 05:00	0.030
06.01.2015 06:00	0.018
06.01.2015 07:00	0.030
06.01.2015 08:00	0.043
06.01.2015 09:00	0.038
06.01.2015 10:00	0.020
06.01.2015 11:00	0.037
06.01.2015 12:00	0.031
06.01.2015 13:00	0.007
06.01.2015 14:00	0.008
06.01.2015 15:00	0.060
06.01.2015 16:00	0.048
06.01.2015 17:00	0.027
06.01.2015 18:00	0.040
06.01.2015 19:00	0.039
06.01.2015 20:00	0.029
06.01.2015 21:00	0.026
06.01.2015 22:00	0.008
06.01.2015 23:00	0.004
07.01.2015 00:00	0.007
07.01.2015 01:00	0.018
07.01.2015 02:00	0.030
07.01.2015 03:00	0.017
07.01.2015 04:00	0.012
07.01.2015 05:00	0.009
07.01.2015 06:00	0.005
07.01.2015 07:00	0.006
07.01.2015 08:00	0.015
07.01.2015 09:00	0.007
07.01.2015 10:00	0.000
07.01.2015 11:00	0.000
07.01.2015 12:00	0.000
07.01.2015 13:00	0.000
07.01.2015 14:00	0.000
07.01.2015 15:00	0.000
07.01.2015 16:00	0.005
07.01.2015 17:00	0.026
07.01.2015 18:00	0.055
07.01.2015 19:00	0.048
07.01.2015 20:00	0.032
07.01.2015 21:00	0.019
07.01.2015 22:00	0.028
07.01.2015 23:00	0.020
08.01.2015 00:00	0.008
08.01.2015 01:00	0.004
08.01.2015 02:00	0.002
08.01.2015 03:00	0.002
08.01.2015 04:00	0.001
08.01.2015 05:00	0.002
08.01.2015 06:00	0.003
08.01.2015 07:00	0.004
08.01.2015 08:00	0.011
08.01.2015 09:00	0.000
08.01.2015 10:00	0.000
08.01.2015 11:00	0.000
08.01.2015 12:00	0.001
08.01.2015 13:00	0.039
08.01.2015 14:00	0.039
08.01.2015 15:00	0.021
08.01.2015 16:00	0.000
08.01.2015 17:00	0.000
08.01.2015 18:00	0.000
08.01.2015 19:00	0.000
08.01.2015 20:00	0.000
08.01.2015 21:00	0.000
08.01.2015 22:00	0.000
08.01.2015 23:00	0.000
09.01.2015 00:00	0.000
09.01.2015 01:00	0.000
09.01.2015 02:00	0.000
09.01.2015 03:00	0.000
09.01.2015 04:00	0.000
09.01.2015 05:00	0.000
09.01.2015 06:00	0.000
09.01.2015 07:00	0.000
09.01.2015 08:00	0.000
09.01.2015 09:00	0.000
09.01.2015 10:00	0.015
09.01.2015 11:00	0.094
09.01.2015 12:00	0.075
09.01.2015 13:00	0.107
09.01.2015 14:00	0.121
09.01.2015 15:00	0.076
09.01.2015 16:00	0.042
09.01.2015 17:00	0.010
09.01.2015 18:00	0.000
09.01.2015 19:00	0.000
09.01.2015 20:00	0.000
09.01.2015 21:00	0.000
09.01.2015 22:00	0.000
09.01.2015 23:00	0.000
10.01.2015 00:00	0.000
10.01.2015 01:00	0.000
10.01.2015 02:00	0.000
10.01.2015 03:00	0.000
10.01.2015 04:00	0.000
10.01.2015 05:00	0.000
10.01.2015 06:00	0.053
10.01.2015 07:00	0.053
10.01.2015 08:00	0.008
10.01.2015 09:00	0.000
10.01.2015 10:00	0.020
10.01.2015 11:00	0.020
10.01.2015 12:00	0.020
10.01.2015 13:00	0.020
10.01.2015 14:00	0.020
10.01.2015 15:00	0.020
10.01.2015 16:00	0.020
10.01.2015 17:00	0.020
10.01.2015 18:00	0.020
10.01.2015 19:00	0.020
10.01.2015 20:00	0.020
10.01.2015 21:00	0.020
10.01.2015 22:00	0.020
10.01.2015 23:00	0.020
11.01.2015 00:00	0.020
11.01.2015 01:00	0.020
11.01.2015 02:00	0.040
11.01.2015 03:00	0.000
11.01.2015 04:00	0.000
11.01.2015 05:00	0.000
11.01.2015 06:00	0.000
11.01.2015 07:00	0.000
11.01.2015 08:00	0.000
11.01.2015 09:00	0.000
11.01.2015 10:00	0.000
11.01.2015 11:00	0.004
11.01.2015 12:00	0.046
11.01.2015 13:00	0.000
11.01.2015 14:00	0.000
11.01.2015 15:00	0.000
11.01.2015 16:00	0.000
11.01.2015 17:00	0.000
11.01.2015 18:00	0.000
11.01.2015 19:00	0.000
11.01.2015 20:00	0.000
11.01.2015 21:00	0.000
11.01.2015 22:00	0.000
11.01.2015 23:00	0.000
12.01.2015 00:00	0.000
12.01.2015 01:00	0.000
12.01.2015 02:00	0.000
12.01.2015 03:00	0.000
12.01.2015 04:00	0.000
12.01.2015 05:00	0.000
12.01.2015 06:00	0.000
12.01.2015 07:00	0.000
12.01.2015 08:00	0.000
12.01.2015 09:00	0.000
12.01.2015 10:00	0.053
12.01.2015 11:00	0.006
12.01.2015 12:00	0.000
12.01.2015 13:00	0.000
12.01.2015 14:00	0.000
12.01.2015 15:00	0.000
12.01.2015 16:00	0.012
12.01.2015 17:00	0.035
12.01.2015 18:00	0.079
12.01.2015 19:00	0.060
12.01.2015 20:00	0.000
12.01.2015 21:00	0.000
12.01.2015 22:00	0.000
12.01.2015 23:00	0.000
13.01.2015 00:00	0.000
13.01.2015 01:00	0.000
13.01.2015 02:00	0.000
13.01.2015 03:00	0.000
13.01.2015 04:00	0.000
13.01.2015 05:00	0.000
13.01.2015 06:00	0.000
13.01.2015 07:00	0.000
