   Time       ET       EvapP   TranspP     Rns        Rnl    RadTerm  AeroTerm     Prec     Interc   ExInterc
    1.00     3.733      .005     3.729    13.090     1.747     3.380      .343     3.500      .000      .000
    2.00     4.202      .005     4.196    14.630     2.042     3.821      .367      .400      .000      .000
    3.00     4.338      .006     4.333    14.630     2.053     3.869      .454     4.500      .000      .000
    4.00     5.512      .007     5.505    19.250     3.363     4.927      .565      .000      .000      .000
    5.00     6.466      .008     6.457    22.330     4.913     5.526      .915      .000      .000      .000
    6.00     6.348      .008     6.340    22.330     4.720     5.508      .818      .000      .000      .000
    7.00     5.945      .008     5.937    20.790     4.357     5.107      .818      .000      .000      .000
    8.00     5.802      .007     5.795    20.790     3.744     5.252      .532      .000      .000      .000
    9.00     5.333      .007     5.326    18.480     2.634     4.951      .362      .000      .000      .000
   10.00     4.453      .006     4.447    15.400     2.105     4.088      .350      .000      .000      .000
   11.00     5.594      .007     5.587    20.020     3.302     5.155      .419     1.400      .000      .000
   12.00     5.718      .007     5.711    20.790     3.873     5.169      .530     1.000      .000      .000
   13.00     5.818      .007     5.810    21.560     4.070     5.307      .493      .000      .000      .000
   14.00     5.230      .007     5.224    19.250     3.383     4.788      .427      .800      .000      .000
   15.00     5.483      .007     5.476    20.020     3.519     5.021      .444     1.800      .000      .000
   16.00     5.572      .007     5.565    20.020     3.307     5.144      .409      .000      .000      .000
   17.00     5.554      .007     5.546    20.020     3.429     5.092      .443      .000      .000      .000
   18.00     5.091      .006     5.085    18.480     2.921     4.737      .338     8.000      .000      .000
   19.00     5.156      .007     5.149    18.480     2.885     4.781      .357    27.000      .000      .000
   20.00     5.550      .007     5.543    20.020     3.439     5.089      .443    11.500      .000      .000
   21.00     4.924      .006     4.918    17.710     2.890     4.504      .405      .000      .000      .000
   22.00     5.250      .007     5.243    18.480     3.083     4.752      .479      .200      .000      .000
   23.00     5.620      .007     5.613    20.790     4.064     5.062      .542      .000      .000      .000
   24.00     4.488      .006     4.483    15.400     2.371     3.992      .482      .000      .000      .000
   25.00     4.344      .006     4.339    14.630     1.911     3.952      .377      .000      .000      .000
   26.00     4.336      .006     4.331    15.400     2.238     3.992      .331    41.000      .000      .000
   27.00     4.025      .005     4.019    13.860     1.739     3.716      .295     2.800      .000      .000
   28.00     3.916      .005     3.911    13.090     1.487     3.602      .300     2.000      .000      .000
   29.00     3.956      .005     3.951    13.090     1.496     3.612      .329      .000      .000      .000
   30.00     4.795      .006     4.789    16.170     2.180     4.391      .386      .000      .000      .000
   31.00     4.235      .005     4.230    13.860     1.709     3.813      .406      .000      .000      .000
   32.00     4.423      .006     4.417    14.630     1.884     4.000      .406    16.500      .000      .000
   33.00     4.789      .006     4.783    16.170     2.310     4.338      .433      .000      .000      .000
   34.00     3.687      .005     3.682    11.550     1.149     3.285      .387      .000      .000      .000
   35.00     3.296      .004     3.292    10.010      .844     2.887      .396    17.000      .000      .000
   36.00     3.839      .005     3.834    12.320     1.365     3.438      .386    11.500      .000      .000
   37.00     4.406      .006     4.400    14.630     1.876     4.003      .386     7.000      .000      .000
   38.00     4.878      .006     4.872    16.170     2.154     4.442      .416      .000      .000      .000
   39.00     5.150      .007     5.144    17.710     2.589     4.742      .389      .000      .000      .000
   40.00     4.808      .006     4.802    16.940     2.508     4.454      .337    65.000      .000      .000
   41.00     3.965      .005     3.960    13.860     1.907     3.633      .320    15.500      .000      .000
   42.00     4.476      .006     4.470    16.170     2.475     4.153      .309    12.000      .000      .000
   43.00     5.546      .007     5.539    20.020     3.712     5.017      .510      .000      .000      .000
   44.00     5.869      .007     5.861    21.560     4.250     5.311      .539      .000      .000      .000
   45.00     5.826      .007     5.818    21.560     4.751     5.126      .683      .000      .000      .000
   46.00     5.684      .007     5.676    20.790     4.606     4.944      .722      .000      .000      .000
   47.00     5.528      .007     5.521    20.020     4.183     4.850      .661      .000      .000      .000
   48.00     5.997      .008     5.989    20.790     4.354     5.184      .791      .000      .000      .000
   49.00     5.333      .007     5.327    17.710     3.277     4.584      .728      .000      .000      .000
   50.00     5.580      .007     5.573    19.250     3.360     5.004      .555      .000      .000      .000
   51.00     6.008      .008     6.000    20.790     3.503     5.477      .507      .000      .000      .000
   52.00     5.387      .007     5.380    18.480     3.016     4.876      .490      .000      .000      .000
   53.00     4.682      .006     4.676    16.170     2.814     4.127      .539      .000      .000      .000
   54.00     4.939      .006     4.933    17.710     2.792     4.600      .322    17.000      .000      .000
   55.00     5.169      .007     5.162    18.480     3.345     4.672      .479    18.000      .000      .000
   56.00     5.253      .007     5.247    19.250     3.525     4.812      .424     1.000      .000      .000
   57.00     5.596      .007     5.589    20.790     4.145     5.086      .492      .000      .000      .000
   58.00     5.645      .007     5.638    20.790     4.733     4.917      .710      .000      .000      .000
   59.00     5.334      .007     5.327    19.250     3.778     4.767      .549      .000      .000      .000
   60.00     5.433      .007     5.426    19.250     3.577     4.886      .528      .000      .000      .000
