   Time       ET        Evap    Transp     Rns        Rnl    RadTerm  AeroTerm     Prec     Interc   ExInterc
    1.00     4.391     0.006     4.386     0.000     0.000     0.000     0.000     3.500     0.000     0.000
    2.00     4.679     0.006     4.673     0.000     0.000     0.000     0.000     0.400     0.000     0.000
    3.00     5.494     0.007     5.487     0.000     0.000     0.000     0.000     4.500     0.000     0.000
    4.00     5.150     0.007     5.143     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    5.00     6.188     0.008     6.180     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    6.00     7.022     0.009     7.013     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    7.00     6.942     0.009     6.933     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    8.00     5.754     0.007     5.746     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    9.00     4.391     0.006     4.386     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   10.00     4.444     0.006     4.438     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   11.00     4.292     0.005     4.286     0.000     0.000     0.000     0.000     1.400     0.000     0.000
   12.00     5.414     0.007     5.407     0.000     0.000     0.000     0.000     1.000     0.000     0.000
   13.00     5.350     0.007     5.343     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   14.00     4.901     0.006     4.895     0.000     0.000     0.000     0.000     0.800     0.000     0.000
   15.00     5.238     0.007     5.232     0.000     0.000     0.000     0.000     1.800     0.000     0.000
   16.00     4.758     0.006     4.752     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   17.00     4.884     0.006     4.878     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   18.00     4.514     0.006     4.508     0.000     0.000     0.000     0.000     8.000     0.000     0.000
   19.00     4.562     0.006     4.556     0.000     0.000     0.000     0.000    27.000     0.000     0.000
   20.00     4.873     0.006     4.867     0.000     0.000     0.000     0.000    11.500     0.000     0.000
   21.00     4.934     0.006     4.928     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   22.00     4.602     0.006     4.596     0.000     0.000     0.000     0.000     0.200     0.000     0.000
   23.00     5.412     0.007     5.405     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   24.00     5.262     0.007     5.256     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   25.00     4.641     0.006     4.635     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   26.00     4.295     0.005     4.289     0.000     0.000     0.000     0.000    41.000     0.000     0.000
   27.00     4.529     0.006     4.523     0.000     0.000     0.000     0.000     2.800     0.000     0.000
   28.00     4.283     0.005     4.278     0.000     0.000     0.000     0.000     2.000     0.000     0.000
   29.00     4.478     0.006     4.472     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   30.00     4.857     0.006     4.851     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   31.00     4.851     0.006     4.845     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   32.00     4.845     0.006     4.838     0.000     0.000     0.000     0.000    16.500     0.000     0.000
   33.00     4.970     0.006     4.963     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   34.00     4.884     0.006     4.878     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   35.00     5.010     0.006     5.004     0.000     0.000     0.000     0.000    17.000     0.000     0.000
   36.00     4.818     0.006     4.812     0.000     0.000     0.000     0.000    11.500     0.000     0.000
   37.00     4.810     0.006     4.804     0.000     0.000     0.000     0.000     7.000     0.000     0.000
   38.00     5.041     0.006     5.035     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   39.00     4.464     0.006     4.458     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   40.00     4.499     0.006     4.493     0.000     0.000     0.000     0.000    65.000     0.000     0.000
   41.00     3.711     0.005     3.706     0.000     0.000     0.000     0.000    15.500     0.000     0.000
   42.00     4.200     0.005     4.194     0.000     0.000     0.000     0.000    12.000     0.000     0.000
   43.00     5.289     0.007     5.282     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   44.00     5.379     0.007     5.372     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   45.00     5.871     0.007     5.864     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   46.00     6.081     0.008     6.073     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   47.00     5.993     0.008     5.986     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   48.00     6.702     0.009     6.694     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   49.00     5.519     0.007     5.512     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   50.00     5.552     0.007     5.545     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   51.00     5.599     0.007     5.592     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   52.00     5.144     0.007     5.137     0.000     0.000     0.000     0.000     0.000     0.000     0.000
