       t        rad        tmax        tmin     rhmean      wind   
         1         17         28         21       84.4         30        
         2         19       29.5         22      83.95         30        
         3         19       31.5       21.5      82.45         30         
         4         25       31.5         23      74.45         30         
         5         29       34.5         23      59.25         30         
         6         29         35         19      71.35         30         
         7         27       34.5       18.5      71.05         30         
         8         27         32         21      79.45         30         
         9         24         31         25      83.45         30         
        10         20         30       23.5       84.2         30         
        11         26         30         24      79.95         30         
        12         27         31         21       77.8         30         
        13         28       30.5       20.5       79.8         30         
        14         25       29.5         21      81.55         30         
        15         26       30.5         21      82.05         30         
        16         26       30.5         23       81.9         30         
        17         26       30.5       22.5      80.45         30         
        18         24       29.5       22.5      85.15         30         
        19         24         30         23       84.2         30         
        20         26       30.5       22.5      80.45         30         
        21         23         30       21.5         83         30         
        22         24       30.5       23.5      77.55         30         
        23         27       30.5         20       77.5         30         
        24         20         31       21.5      80.05         30         
        25         19         31         24       83.4         30         
        26         20         29       22.5      84.95         30         
        27         18         30         23       87.7         30         
        28         17       30.5       24.5      86.65         30         
        29         17         31       24.5       85.6         30         
        30         21         32       24.5      83.65         30         
        31         18         32       24.5       82.6         30         
        32         19         32       24.5       82.6         30         
        33         21         32         24      81.55         30         
        34         15       32.5         25      83.75         30         
        35         13       32.5       24.5      83.75         30         
        36         16         32       24.5      83.65         30         
        37         19         32       24.5      83.65         30         
        38         21         33         25       82.8         30         
        39         23       31.5         25       82.5         30         
        40         22       30.5       23.5       85.5         30         
        41         18       28.5       23.5      84.35         30         
        42         21         29       22.5       86.2         30         
        43         26       31.5       21.5       79.2         30         
        44         28       31.5         21      78.15         30         
        45         28         32         19      73.15         30         
        46         27       32.5       18.5       72.5         30         
        47         26       32.5         19      75.55         30         
        48         27       35.5         20       72.5         30         
        49         23         34         24      68.05         30         
        50         25       33.5         23      78.05         30         
        51         27         34       23.5         81         30         
        52         24         33         24       79.8         30         
        53         21         31         23      75.25         30         
        54         23         30         24      85.35         30         
        55         24       30.5       23.5      77.55         30         
        56         25       30.5         22      82.05         30         
        57         27         31         21      80.05         30         
        58         27       32.5         19       72.5         30         
        59         25         32         21       78.4         30         
        60         25       32.5       22.5       78.6         30         
        61         22         31       20.5      78.95         30         
        62         21       32.5         22       78.6         30         
        63         16       27.5         24       88.1         30         
        64         13         27       22.5       89.3         30         
        65         16         28         22       85.7         30         
        66         18       29.5       22.5      85.15         30         
        67         20       29.5         23       86.4         30         
        68         17       29.5       23.5       86.4         30         
        69         14         28       23.5      88.35         30         
        70         12         29       23.5      87.45         30         
        71         18         29         23       86.2         30         
        72         11         29         23       86.2         30         
        73         21         29         22      84.95         30         
        74         20         30         23      85.35         30         
        75         15         29       23.5      87.45         30         
        76          8       26.5       22.5       91.9         30         
        77          8         26       21.5      91.65         30         
        78         16       28.5         23      87.25         30         
        79         21       30.5         21      82.05         30         
        80         23         31       21.5       82.3         30         
        81         18         31         23       84.5         30         
        82         22       31.5         24      83.55         30         
        83         18         30       23.5       84.2         30         
        84         20       28.5         23      85.85         30         
        85         20       29.5         22      83.95         30         
        86         25         30       20.5      79.45         30         
        87         23         30       20.5       81.8         30         
        88         23       29.5       20.5      82.75         30         
        89         22         30         21       81.8         30         
        90         23         30       20.5       81.8         30         
        91         23       30.5         21       80.9         30         
        92         22       30.5         21      82.05         30         
        93         21         30         22       84.2         30         
        94         22       29.5         21      77.35         30         
        95         20         30       19.5       78.3         30         
        96         21       29.5       20.5       80.3         30         
        97         22       29.5         20       80.3         30         
        98         17         29       21.5      82.45         30         
        99         19       28.5       21.5       84.7         30         
       100         18         29         22       83.7         30         
       101         18         28         22       85.7         30         
       102         19       28.5         21       84.7         30         
       103         22         29         21       83.7         30         
       104         20       28.5       19.5       83.4         30         
       105         14         27       22.5       87.4         30         
       106         15         26         22      91.65         30         
       107         13         27       21.5      86.45         30         
       108         19         28       19.5       84.4         30         
       109         20       27.5       20.5      84.05         30         
       110         19         28         21      83.05         30         
       111         18         27         21      86.45         30         
       112         14         28       21.5      87.05         30         
       113         17       27.5       21.5       85.4         30         
       114         17         28       19.5       84.4         30         
       115         15       28.5       21.5       83.4         30         
       116         17         27         23         70         30         
       117         16         26       21.5       82.5         30         
       118         15         26         21      83.95         30         
       119         18         28         21      83.05         30         
       120         18         27         22       89.3         30         
       121         16       28.5       22.5         86         30         
       122         17         27       22.5       90.7         30         
       123         18         29         21       86.2         30         
       124         17         29       20.5      84.95         30         
       125         14       28.5         20      82.15         30         
       126         16       28.5       20.5       84.7         30         
       127         17       28.5       21.5       84.7         30         
       128         17       28.5       21.5       84.7         30         
       129         17       27.5       21.5       85.4         30         
       130         15         28         21       85.7         30         
       131         16         29       21.5      84.95         30         
       132          8         27       22.5       71.2         30         
       133         17         25       20.5       54.8         30         
       134         20       25.5       18.5       62.1         30         
       135         19       25.5         20      77.15         30         
       136         18         26         21         77         30         
       137         16       26.5         18       83.2         30         
       138         18         27       20.5      85.05         30         
       139         16         26         20       85.7         30         
       140         17         27         19      86.45         30         
