Time	wind	temperature	rh	pressure	netrad	soilflux	Short_rad	refprecip
01.01.2015 00:00	0.00	-2.86	97.47		-0.75	-5.26	4.19	0.00
01.01.2015 01:00	0.00	-2.67	96.22		0.73	-5.26	4.13	0.00
01.01.2015 02:00	0.00	-2.55	95.38		-1.73	-5.26	4.28	0.00
01.01.2015 03:00	0.00	-2.45	94.78		-1.47	-4.56	4.13	0.00
01.01.2015 04:00	0.00	-2.55	94.52		-0.45	-4.21	4.21	0.00
01.01.2015 05:00	0.00	-2.53	94.48		-1.64	-4.21	4.17	0.00
01.01.2015 06:00	0.00	-2.68	94.25		0.27	-4.21	4.19	0.00
01.01.2015 07:00	0.00	-2.51	94.40		-2.50	-4.21	4.16	0.00
01.01.2015 08:00	0.00	-2.31	93.32		-10.94	-4.21	8.27	0.00
01.01.2015 09:00	0.00	-1.90	91.43		-21.58	-4.21	16.18	0.00
01.01.2015 10:00	0.05	-1.04	85.53		-57.36	-4.21	27.02	0.00
01.01.2015 11:00	0.47	-0.29	78.54		-133.55	-4.08	41.32	0.91
01.01.2015 12:00	0.63	0.10	77.79		-137.86	-3.68	40.47	1.43
01.01.2015 13:00	0.33	0.40	76.36		-2.61	-3.99	34.42	1.17
01.01.2015 14:00	0.25	0.31	78.40		4.83	-4.21	27.44	1.04
01.01.2015 15:00	0.33	0.02	81.41		-1.09	-4.21	20.65	0.65
01.01.2015 16:00	0.58	-0.64	87.10		-12.36	-4.21	6.17	0.26
01.01.2015 17:00	0.56	-1.12	92.42		-3.83	-4.21	4.21	0.00
01.01.2015 18:00	0.29	-1.43	93.35		-16.45	-4.21	4.20	0.00
01.01.2015 19:00	0.43	-2.90	96.98		-26.92	-4.21	4.18	0.00
01.01.2015 20:00	0.58	-4.05	97.47		-25.16	-4.25	4.17	0.00
01.01.2015 21:00	0.56	-4.21	98.12		-24.92	-4.61	4.16	0.00
01.01.2015 22:00	0.10	-5.52	97.22		-21.59	-4.69	4.14	0.00
01.01.2015 23:00	0.33	-5.33	97.25		-21.64	-4.74	4.16	0.00
02.01.2015 00:00	0.18	-5.83	96.78		-9.76	-4.74	4.13	0.00
02.01.2015 01:00	0.17	-6.40	96.50		-12.74	-4.74	4.11	0.00
02.01.2015 02:00	0.26	-6.31	96.43		-5.33	-5.09	4.12	0.00
02.01.2015 03:00	0.38	-6.54	96.15		-6.89	-5.26	4.10	0.00
02.01.2015 04:00	0.39	-6.07	96.38		-5.87	-5.26	4.12	0.00
02.01.2015 05:00	0.24	-6.44	96.18		-6.66	-5.26	4.12	0.00
02.01.2015 06:00	0.62	-6.40	96.12		-11.52	-5.26	4.13	0.00
02.01.2015 07:00	0.61	-6.86	95.92		-12.09	-5.26	4.10	0.00
02.01.2015 08:00	0.68	-7.56	95.35		-19.91	-5.26	10.80	0.00
02.01.2015 09:00	0.65	-7.65	95.23		-19.21	-5.26	25.69	0.00
02.01.2015 10:00	0.79	-5.74	95.52		-19.08	-5.53	98.39	0.00
02.01.2015 11:00	0.75	-4.30	95.80		-9.15	-5.35	113.45	0.39
02.01.2015 12:00	1.49	-2.17	95.38		32.73	-4.82	213.75	0.91
02.01.2015 13:00	1.03	-0.55	89.00		1.80	-4.43	159.95	1.17
02.01.2015 14:00	0.65	-0.47	87.33		-3.26	-4.25	92.73	0.78
02.01.2015 15:00	1.03	-0.40	89.77		-6.86	-4.21	49.64	0.26
