name,date,tavg,tmax,tmin,rhmax,rhmin,solar,windrun,et_asce,et_pk,et_asce0
hyk02,2020-01-01,-0.8,9.4,-8.9,0.929,0.47,63.1,203.1,1.9,1.9,1.2
hyk02,2020-01-02,0.8,7.2,-4.2,0.902,0.568,107.4,314.7,1.7,1.7,1.1
hyk02,2020-01-03,-0.4,5.0,-4.7,0.855,0.448,76.2,239.6,1.7,1.3,1.1
hyk02,2020-01-04,4.1,16.1,-4.8,0.893,0.224,97.6,253.7,4.0,1.7,2.4
hyk02,2020-01-05,0.5,8.2,-6.9,0.82,0.232,102.3,312.2,3.1,1.9,1.9
hyk02,2020-01-06,-1.5,6.9,-7.7,0.834,0.255,112.2,376.4,3.1,2.1,1.9
hyk02,2020-01-07,1.3,14.1,-7.8,0.809,0.23,113.4,200.2,3.3,1.7,2.0
hyk02,2020-01-08,-3.6,3.7,-9.3,0.967,0.553,67.1,183.3,1.1,0.9,0.8
hyk02,2020-01-09,1.2,8.8,-4.3,0.791,0.216,96.5,291.5,3.2,1.6,2.0
hyk02,2020-01-10,-8.6,0.5,-23.3,0.987,0.61,49.2,206.1,0.9,0.8,0.6
hyk02,2020-01-11,-10.7,-2.5,-22.2,0.914,0.727,98.1,191.9,0.6,0.7,0.4
hyk02,2020-01-12,-3.1,7.3,-10.1,0.946,0.281,112.3,103.1,1.4,0.5,0.9
hyk02,2020-01-13,-2.8,8.7,-11.7,0.91,0.245,114.1,93.3,1.5,0.5,1.0
hyk02,2020-01-14,-2.6,9.8,-12.1,0.956,0.293,119.1,213.7,2.6,1.2,1.6
hyk02,2020-01-15,-3.2,8.1,-12.7,0.93,0.171,121.3,211.3,2.7,1.5,1.6
hyk02,2020-01-16,-6.3,-1.0,-12.4,0.922,0.428,62.6,416.0,1.6,1.2,1.0
hyk02,2020-01-17,-1.7,5.1,-6.0,0.991,0.47,49.6,496.4,2.2,1.1,1.4
hyk02,2020-01-18,-3.5,4.8,-9.5,0.751,0.257,89.7,332.0,2.8,1.8,1.7
hyk02,2020-01-19,-2.7,8.5,-10.0,0.828,0.256,118.9,161.4,2.2,1.2,1.4
hyk02,2020-01-20,-3.8,7.3,-10.5,0.922,0.346,126.7,197.0,2.0,1.3,1.3
hyk02,2020-01-21,-1.1,7.9,-9.5,0.966,0.467,56.4,222.6,1.9,0.9,1.2
hyk02,2020-01-22,3.4,11.9,-4.5,0.92,0.278,107.2,375.8,3.9,1.9,2.4
hyk02,2020-01-23,-0.4,7.7,-7.3,0.865,0.286,129.4,406.8,3.3,2.2,2.0
hyk02,2020-01-24,-1.0,9.7,-8.9,0.92,0.324,78.5,94.7,1.6,1.0,1.1
hyk02,2020-01-25,3.0,13.1,-8.5,0.904,0.314,123.4,231.1,3.2,1.8,2.0
hyk02,2020-01-26,2.9,12.8,-4.6,0.819,0.26,132.2,212.0,3.2,1.7,2.0
hyk02,2020-01-27,-0.8,3.0,-4.0,0.995,0.664,55.0,142.6,0.9,0.7,0.6
hyk02,2020-01-28,-0.8,7.1,-8.3,0.991,0.439,133.6,270.9,2.1,1.4,1.4
hyk02,2020-01-29,-0.3,8.0,-7.8,0.979,0.48,90.2,153.5,1.6,1.0,1.1
hyk02,2020-01-30,0.4,7.3,-7.0,0.986,0.383,110.0,379.3,2.6,1.5,1.7
hyk02,2020-01-31,1.2,9.8,-6.9,0.842,0.231,126.2,372.7,3.9,2.4,2.4
hyk02,2020-02-01,7.3,18.7,-2.1,0.754,0.159,105.3,344.7,6.2,2.9,3.8
hyk02,2020-02-02,11.3,26.4,-0.9,0.903,0.068,147.8,391.1,9.8,4.8,5.9
hyk02,2020-02-03,-4.3,-0.8,-7.6,0.894,0.305,55.1,578.9,2.3,2.4,1.4
hyk02,2020-02-04,-7.9,-4.1,-12.1,0.951,0.326,104.2,325.0,1.5,1.5,1.0
hyk02,2020-02-05,-8.1,-0.8,-15.6,0.953,0.371,153.4,242.0,1.5,1.4,1.0
hyk02,2020-02-06,-3.0,5.3,-11.3,0.891,0.381,92.3,340.5,2.4,1.2,1.6
hyk02,2020-02-07,-2.1,4.1,-9.0,0.905,0.329,110.6,305.9,2.3,1.2,1.5
hyk02,2020-02-08,3.2,14.8,-6.1,0.926,0.255,145.6,258.6,4.0,1.8,2.5
hyk02,2020-02-09,-2.7,2.1,-10.3,0.907,0.478,90.9,395.7,1.9,1.4,1.2
hyk02,2020-02-10,-3.3,6.0,-11.5,0.913,0.284,150.9,271.9,2.6,1.9,1.7
hyk02,2020-02-11,-4.4,5.9,-12.3,0.924,0.274,164.2,275.9,2.7,2.0,1.8
hyk02,2020-02-12,-4.1,4.9,-11.1,0.942,0.458,125.3,438.4,2.4,1.9,1.5
hyk02,2020-02-13,-10.5,-5.4,-13.7,0.94,0.817,123.7,258.2,0.6,1.0,0.5
hyk02,2020-02-14,-1.6,14.8,-15.4,0.935,0.258,169.9,220.0,4.0,2.1,2.5
hyk02,2020-02-15,0.1,8.9,-6.8,0.833,0.206,159.0,188.1,2.9,1.5,1.9
hyk02,2020-02-16,3.5,11.9,-7.0,0.85,0.287,106.9,208.0,3.1,1.4,2.0
hyk02,2020-02-17,1.3,7.2,-4.6,0.981,0.418,139.2,346.8,2.6,1.8,1.7
hyk02,2020-02-18,-2.0,5.7,-8.7,0.947,0.187,172.0,112.8,2.0,1.6,1.4
hyk02,2020-02-19,-9.1,-6.1,-16.3,0.97,0.833,42.7,311.6,0.4,0.6,0.3
hyk02,2020-02-20,-8.4,3.5,-19.1,0.938,0.376,180.7,166.1,1.8,1.5,1.3
hyk02,2020-02-21,-0.5,15.9,-13.0,0.943,0.068,185.9,118.5,3.6,1.8,2.4
hyk02,2020-02-22,4.3,18.0,-5.3,0.699,0.106,165.2,202.7,5.1,2.1,3.2
hyk02,2020-02-23,2.9,12.6,-5.1,0.857,0.223,97.0,235.0,3.7,2.0,2.4
hyk02,2020-02-24,-0.8,8.8,-8.2,0.961,0.285,88.4,427.0,3.6,2.4,2.3
