YYYYMMDD,Tmean[°C],Tmax[°C],Tmin[°C],RH[%],Rs[MJ/m2/d],u2[m/s],PET_KNMI[mm/d]
2018-01-01,6.8,8.8,5.2,84,2.24,5.0,0.3
2018-01-02,6.5,9.1,4.5,88,1.74,4.5,0.2
2018-01-03,8.8,11.2,5.4,73,0.76,8.8,0.1
2018-01-04,8.2,10.7,6.8,82,1.09,5.6,0.2
2018-01-05,6.4,8.7,4.4,87,1.16,4.0,0.2
2018-01-06,4.5,6.6,2.2,89,1.89,2.8,0.2
2018-01-07,1.0,3.1,-1.2,77,4.11,5.9,0.5
2018-01-08,1.1,3.9,-1.4,77,3.88,5.5,0.4
2018-01-09,3.0,6.1,-0.2,89,1.9,3.3,0.2
2018-01-10,6.9,7.6,5.8,94,0.69,2.8,0.1
2018-01-11,5.7,7.6,2.8,97,1.35,1.6,0.2
2018-01-12,5.0,5.9,4.1,94,1.03,1.5,0.1
2018-01-13,4.2,6.2,1.2,90,0.9,3.1,0.1
2018-01-14,2.9,5.2,0.8,82,3.69,4.3,0.4
2018-01-15,5.2,8.0,1.7,89,0.57,6.5,0.1
2018-01-16,5.2,6.9,2.5,78,3.36,4.9,0.4
2018-01-17,4.6,6.0,2.0,73,2.05,5.3,0.3
2018-01-18,4.7,10.2,0.5,85,1.67,6.4,0.2
2018-01-19,3.7,6.9,1.4,85,3.26,3.1,0.4
2018-01-20,2.2,3.6,0.8,93,1.21,2.7,0.1
2018-01-21,3.0,6.9,-0.4,85,4.31,2.6,0.5
2018-01-22,6.3,8.4,2.0,88,2.37,3.5,0.3
2018-01-23,8.1,11.2,4.6,88,2.21,5.0,0.3
2018-01-24,11.7,14.4,7.3,84,1.47,7.0,0.2
2018-01-25,7.7,9.2,5.0,88,2.21,3.8,0.3
2018-01-26,5.4,8.6,2.5,95,2.97,1.8,0.4
2018-01-27,5.8,7.2,4.4,83,2.87,5.0,0.4
2018-01-28,9.7,10.8,6.9,90,2.78,5.4,0.4
2018-01-29,8.8,10.7,4.6,84,1.66,5.8,0.2
2018-01-30,4.7,7.4,2.1,86,4.85,2.5,0.6
2018-01-31,6.5,9.5,3.2,84,0.99,5.4,0.1
2018-02-01,3.4,6.1,1.9,87,2.9,4.1,0.3
2018-02-02,4.4,6.8,-0.5,87,3.35,3.0,0.4
2018-02-03,2.0,4.6,-0.4,90,1.85,2.6,0.2
2018-02-04,1.7,3.6,-0.4,76,5.0,4.3,0.6
2018-02-05,1.0,3.4,-2.1,81,3.41,4.1,0.4
2018-02-06,-2.1,2.0,-4.6,76,7.89,3.2,0.8
2018-02-07,-2.2,1.9,-6.8,76,7.92,2.1,0.8
2018-02-08,1.0,4.7,-2.5,79,6.66,2.6,0.7
2018-02-09,0.6,2.2,-0.9,79,4.15,4.6,0.4
2018-02-10,2.9,7.0,0.2,84,4.78,3.5,0.6
2018-02-11,4.5,7.3,2.1,80,3.73,5.7,0.5
2018-02-12,3.0,6.3,0.7,74,6.43,3.7,0.8
2018-02-13,2.0,6.3,-1.2,71,8.6,4.3,1.0
2018-02-14,1.9,5.5,-2.2,65,8.73,5.4,1.0
2018-02-15,4.3,9.9,0.5,88,2.52,4.5,0.3
2018-02-16,3.2,8.7,-2.1,79,8.3,2.5,1.0
2018-02-17,0.9,7.6,-3.6,82,6.86,1.9,0.8
2018-02-18,0.7,7.3,-4.9,87,8.4,2.3,0.9
2018-02-19,1.2,3.4,-2.5,84,3.26,2.5,0.4
2018-02-20,0.8,4.6,-3.8,82,4.39,2.3,0.5
2018-02-21,0.3,4.7,-3.9,77,9.29,2.8,1.0
2018-02-22,0.2,5.0,-3.0,71,9.89,4.0,1.1
2018-02-23,-0.5,3.5,-3.8,71,10.68,4.9,1.1
2018-02-24,-0.4,3.3,-3.4,55,10.13,6.6,1.1
2018-02-25,-2.2,1.1,-4.9,56,11.4,5.7,1.1
2018-02-26,-3.3,0.0,-5.9,67,8.66,4.6,0.8
2018-02-27,-3.6,0.2,-6.4,70,10.28,3.4,0.9
2018-02-28,-6.6,-4.6,-8.5,69,8.51,6.5,0.7
2018-03-01,-4.7,-0.7,-8.3,50,8.38,9.4,0.7
2018-03-02,-3.7,-0.5,-7.2,52,8.51,8.3,0.8
2018-03-03,-1.7,1.2,-4.5,64,5.36,4.9,0.5
2018-03-04,5.0,11.3,-2.2,78,8.93,4.4,1.1
2018-03-05,6.6,12.0,3.2,80,11.25,3.7,1.5
2018-03-06,5.6,10.1,1.0,82,7.08,2.4,0.9
2018-03-07,5.9,9.5,0.8,87,7.25,2.8,0.9
2018-03-08,4.8,8.3,1.2,84,4.26,5.4,0.5
