station,time,strahl,rel,t,tmax,tmin,vv
16412,2000-01-01,300.0,80.0,-2.7,0.5,-5.8,1.0
16412,2000-01-02,250.0,86.0,0.2,2.5,-2.1,1.0
16412,2000-01-03,598.0,86.0,0.6,3.6,-2.4,1.0
16412,2000-01-04,619.0,83.0,-0.5,4.5,-5.5,1.0
16412,2000-01-05,463.0,84.0,-0.1,5.4,-5.5,1.0
16412,2000-01-06,592.0,86.0,-0.3,4.8,-5.3,1.0
16412,2000-01-07,515.0,87.0,-2.0,2.7,-6.6,1.0
16412,2000-01-08,391.0,96.0,-4.4,-1.8,-6.9,1.0
16412,2000-01-09,132.0,99.0,-5.6,-4.7,-6.4,1.0
16412,2000-01-10,231.0,87.0,-2.2,0.6,-4.9,1.0
16412,2000-01-11,183.0,89.0,0.4,1.3,-0.6,1.0
16412,2000-01-12,464.0,87.0,0.1,2.2,-2.1,1.5
16412,2000-01-13,284.0,93.0,-3.6,-1.0,-6.1,1.5
16412,2000-01-14,619.0,74.0,-3.9,0.2,-8.0,1.5
16412,2000-01-15,178.0,94.0,-6.0,-3.6,-8.3,1.0
16412,2000-01-16,666.0,80.0,-1.6,1.8,-5.0,1.5
16412,2000-01-17,573.0,78.0,-1.2,4.7,-7.1,1.0
16412,2000-01-18,350.0,79.0,4.8,8.6,0.9,5.2
16412,2000-01-19,718.0,65.0,1.1,4.2,-2.0,1.5
16412,2000-01-20,482.0,65.0,1.2,4.9,-2.6,1.0
16412,2000-01-21,741.0,65.0,2.4,7.6,-2.8,3.8
16412,2000-01-22,251.0,88.0,-1.7,1.7,-5.0,1.0
16412,2000-01-23,482.0,87.0,-3.7,0.5,-7.8,1.5
16412,2000-01-24,841.0,52.0,-4.7,-2.2,-7.1,4.5
16412,2000-01-25,814.0,67.0,-6.2,-1.6,-10.7,2.1
16412,2000-01-26,823.0,66.0,-5.8,1.7,-13.2,1.0
16412,2000-01-27,820.0,66.0,-1.5,6.4,-9.3,1.5
16412,2000-01-28,843.0,69.0,-0.7,6.0,-7.4,1.5
16412,2000-01-29,453.0,75.0,-1.8,2.9,-6.4,1.0
16412,2000-01-30,314.0,93.0,3.1,6.9,-0.8,2.6
16412,2000-01-31,766.0,69.0,7.9,15.7,0.0,1.0
16412,2000-02-01,885.0,74.0,8.2,15.0,1.3,1.5
16412,2000-02-02,737.0,72.0,6.4,13.4,-0.6,1.5
16412,2000-02-03,596.0,59.0,6.9,11.4,2.3,3.2
16412,2000-02-04,939.0,74.0,3.9,8.9,-1.1,1.5
16412,2000-02-05,690.0,75.0,7.1,15.2,-1.0,2.1
16412,2000-02-06,882.0,74.0,9.6,16.5,2.6,1.5
16412,2000-02-07,803.0,68.0,8.5,16.5,0.4,2.1
16412,2000-02-08,693.0,76.0,7.2,12.1,2.3,1.0
16412,2000-02-09,387.0,67.0,7.0,10.6,3.4,3.2
16412,2000-02-10,949.0,68.0,4.8,10.8,-1.2,1.5
16412,2000-02-11,769.0,74.0,3.1,9.5,-3.3,1.0
16412,2000-02-12,672.0,76.0,5.9,8.9,2.8,1.0
16412,2000-02-13,915.0,76.0,3.7,10.1,-2.7,2.1
16412,2000-02-14,1066.0,44.0,5.8,10.5,1.1,2.1
16412,2000-02-15,607.0,67.0,3.4,7.9,-1.2,1.0
16412,2000-02-16,528.0,74.0,4.5,9.1,-0.1,1.5
16412,2000-02-17,1049.0,51.0,4.7,8.1,1.2,2.1
16412,2000-02-18,1038.0,61.0,2.1,7.8,-3.6,1.5
16412,2000-02-19,1011.0,65.0,5.2,12.4,-2.0,1.5
16412,2000-02-20,1104.0,67.0,4.7,10.3,-1.0,3.2
16412,2000-02-21,961.0,60.0,1.8,5.0,-1.5,2.1
16412,2000-02-22,1210.0,64.0,0.4,5.3,-4.6,1.0
16412,2000-02-23,1024.0,70.0,1.7,7.6,-4.2,2.6
16412,2000-02-24,817.0,76.0,3.2,7.3,-0.9,1.5
