Variable: ,Mean Air Temperature
Variable id: ,tasAdjust
Country: ,AUT

,year,CAT current policies warming level,CAT current policies median,CAT current policies 97.5th percentile,CAT current policies 2.5th percentile,NGFS current policies warming level,NGFS current policies median,NGFS current policies 97.5th percentile,NGFS current policies 2.5th percentile,NGFS delayed transition warming level,NGFS delayed transition median,NGFS delayed transition 97.5th percentile,NGFS delayed transition 2.5th percentile,NGFS net-zero 2050 warming level,NGFS net-zero 2050 median,NGFS net-zero 2050 97.5th percentile,NGFS net-zero 2050 2.5th percentile,RCP2.6 warming level,RCP2.6 median,RCP2.6 97.5th percentile,RCP2.6 2.5th percentile,RCP4.5 warming level,RCP4.5 median,RCP4.5 97.5th percentile,RCP4.5 2.5th percentile,RCP6.0 warming level,RCP6.0 median,RCP6.0 97.5th percentile,RCP6.0 2.5th percentile,RCP8.5 warming level,RCP8.5 median,RCP8.5 97.5th percentile,RCP8.5 2.5th percentile
0,2015,1.1,0.8890512177713674,1.408510881206336,0.44526810821859997,1.1,0.8890512177713674,1.5774477687874622,0.3670427360463562,1.1,0.8890512177713674,1.5774477687874622,0.3670427360463562,1.1,0.8890512177713674,1.5774477687874622,0.3670427360463562,1.1,0.8890512177713674,1.5774477687874622,0.3670427360463562,1.1,0.8890512177713674,1.5774477687874622,0.3670427360463562,1.1,0.8890512177713674,1.5774477687874622,0.3670427360463562,1.1,0.8890512177713674,1.5774477687874622,0.3670427360463562
1,2020,1.2,1.0770024714642892,1.7197989314796265,0.5274414266381425,1.2,1.0770024714642892,1.7197989314796265,0.44526810821859997,1.2,1.0770024714642892,1.7197989314796265,0.44526810821859997,1.2,1.0770024714642892,1.7197989314796265,0.44526810821859997,1.2,1.0770024714642892,1.7197989314796265,0.44526810821859997,1.2,1.0770024714642892,1.7197989314796265,0.44526810821859997,1.2,1.0770024714642892,1.7197989314796265,0.44526810821859997,1.2,1.0770024714642892,1.7197989314796265,0.44526810821859997
2,2025,1.3,1.238537242914393,2.0094256848507075,0.5274414266381425,1.4,1.3734862894755349,2.0094256848507075,0.5274414266381425,1.4,1.3734862894755349,2.0094256848507075,0.5274414266381425,1.4,1.3734862894755349,2.1705821556317697,0.5274414266381425,1.3,1.238537242914393,2.0094256848507075,0.5274414266381425,1.3,1.238537242914393,2.0094256848507075,0.5274414266381425,1.3,1.238537242914393,1.8462183039589952,0.5274414266381425,1.3,1.238537242914393,2.1705821556317697,0.5274414266381425
3,2030,1.4,1.3734862894755349,2.2969903942819005,0.6827719607509698,1.5,1.4925035458238813,2.2969903942819005,0.6827719607509698,1.5,1.4925035458238813,2.2969903942819005,0.6827719607509698,1.4,1.3734862894755349,2.2969903942819005,0.5274414266381425,1.4,1.3734862894755349,2.1705821556317697,0.5274414266381425,1.4,1.3734862894755349,2.2969903942819005,0.6827719607509698,1.4,1.3734862894755349,2.1705821556317697,0.5274414266381425,1.5,1.4925035458238813,2.403906018220526,0.6827719607509698
4,2035,1.6,1.6483088105845713,2.5275519166474134,0.8116860126209792,1.6,1.6483088105845713,2.5275519166474134,0.8116860126209792,1.6,1.6483088105845713,2.5275519166474134,0.8116860126209792,1.5,1.4925035458238813,2.403906018220526,0.6827719607509698,1.5,1.4925035458238813,2.403906018220526,0.6827719607509698,1.5,1.4925035458238813,2.403906018220526,0.6827719607509698,1.5,1.4925035458238813,2.403906018220526,0.6827719607509698,1.7,1.8020631652346106,2.800213502206507,0.8116860126209792
5,2040,1.7,1.8020631652346106,2.800213502206507,0.9140143396020267,1.7,1.8020631652346106,2.800213502206507,0.8116860126209792,1.7,1.8020631652346106,2.800213502206507,0.8116860126209792,1.5,1.4925035458238813,2.5275519166474134,0.6827719607509698,1.6,1.6483088105845713,2.5275519166474134,0.6827719607509698,1.7,1.8020631652346106,2.668109850032883,0.8116860126209792,1.6,1.6483088105845713,2.5275519166474134,0.8116860126209792,1.9,2.0205827955613227,3.164776039760339,1.0004108763702784
6,2045,1.8,1.9210692877537194,3.0434355712761003,0.9140143396020267,1.9,2.0205827955613227,3.0434355712761003,0.9140143396020267,1.7,1.8020631652346106,2.9105192809731855,0.8116860126209792,1.5,1.4925035458238813,2.5275519166474134,0.5274414266381425,1.6,1.6483088105845713,2.668109850032883,0.6827719607509698,1.8,1.9210692877537194,2.9105192809731855,0.9140143396020267,1.7,1.8020631652346106,2.800213502206507,0.8116860126209792,2.1,2.269982395111635,3.4579421805407744,1.1235954215508743
7,2050,1.9,2.0205827955613227,3.356044753044298,1.0004108763702784,2.0,2.1368265778571875,3.356044753044298,1.0004108763702784,1.7,1.8020631652346106,2.9105192809731855,0.8116860126209792,1.5,1.4925035458238813,2.668109850032883,0.5274414266381425,1.6,1.6483088105845713,2.800213502206507,0.6827719607509698,1.9,2.0205827955613227,3.164776039760339,1.0004108763702784,1.8,1.9210692877537194,3.0434355712761003,0.9140143396020267,2.3,2.4975875937898926,3.9871378830129465,1.3311144595598332
8,2055,2.0,2.1368265778571875,3.623708014775762,1.1235954215508743,2.1,2.269982395111635,3.623708014775762,1.1235954215508743,1.7,1.8020631652346106,2.9105192809731855,0.6827719607509698,1.5,1.4925035458238813,2.668109850032883,0.5274414266381425,1.7,1.8020631652346106,2.800213502206507,0.6827719607509698,2.0,2.1368265778571875,3.356044753044298,1.0004108763702784,1.9,2.0205827955613227,3.2715258447966584,1.0004108763702784,2.6,2.836387809220298,4.569576295118593,1.3980072477873422
9,2060,2.2,2.3946839311542365,3.9871378830129465,1.1235954215508743,2.3,2.4975875937898926,3.9871378830129465,1.2447290566208191,1.7,1.8020631652346106,2.9105192809731855,0.6827719607509698,1.5,1.4925035458238813,2.668109850032883,0.5274414266381425,1.7,1.8020631652346106,2.9105192809731855,0.6827719607509698,2.1,2.269982395111635,3.623708014775762,1.1235954215508743,2.1,2.269982395111635,3.356044753044298,1.1235954215508743,2.8,3.007999912702369,5.415865439189144,1.5821654081774656
