date_time,station_id,eto,etr,rso,ea_avg,rh_max,rh_min,td_avg,td_max,td_min,solarmj,airt_avg,airt_max,airt_min,intt_avg,wett_avg,windd_sd,airt2_avg,battv_min,precip_tb,timestamp,windd_avg,winds_avg,winds_max,precip_wpg,soilt4_avg,soilt8_avg,solarw_avg,precip_accum,soilvwc8_avg,wetstate_avg
"2020-12-31 00:00:00",1138054,-0.004,-0.005,1E-6,0.210,92,84,-13.9,-10.3,-17.5,0.0001,-12.4,-9.2,-15.8,-11.4,,31,-12.6,12.68,0.000,,182,1.922,4.470,0.000,-1.4,-0.6,0,179.324,6,0
"2020-12-31 01:00:00",1138054,-0.002,-0.002,1E-6,0.228,93,76,-12.7,-10.6,-16.6,0.0001,-10.8,-8.7,-15.2,-12.0,,18,-10.8,12.66,0.000,,123,2.772,4.023,0.000,-1.4,-0.6,0,179.324,6,0
"2020-12-31 02:00:00",1138054,-0.003,-0.003,1E-6,0.191,91,78,-15.4,-13.6,-16.9,0.0001,-13.8,-12.2,-15.4,-12.3,,12,-13.5,12.63,0.000,,151,2.414,4.515,0.000,-1.5,-0.6,0,179.324,6,0
"2020-12-31 03:00:00",1138054,-0.004,-0.005,1E-6,0.185,88,85,-15.3,-13.6,-16.4,0.0001,-13.6,-12.1,-14.8,-12.4,,29,-13.7,12.62,0.000,,273,1.654,3.979,0.000,-1.6,-0.6,0,179.324,6,0
"2020-12-31 04:00:00",1138054,-0.004,-0.004,1E-6,0.220,89,84,-13.7,-12.1,-16.1,0.0001,-12.1,-10.1,-14.6,-11.9,,26,-11.3,12.61,0.000,,190,1.967,3.889,0.000,-1.6,-0.6,0,179.324,6,0
"2020-12-31 05:00:00",1138054,-0.006,-0.007,1E-6,0.253,87,85,-11.9,-10.5,-13.1,0.0001,-10.1,-8.5,-11.3,-10.3,,44,-9.5,12.61,0.000,,131,1.341,3.576,0.000,-1.6,-0.6,0,179.324,6,0
"2020-12-31 06:00:00",1138054,-0.006,-0.007,0.00240338,0.268,87,84,-10.8,-10.4,-11.2,0.0001,-8.8,-8.2,-9.2,-8.7,,29,-8.8,12.59,0.000,,104,1.565,3.353,0.000,-1.7,-0.6,0,179.324,6,0
"2020-12-31 07:00:00",1138054,0.004,0.008,0.168118658,0.281,87,77,-10.1,-9.2,-10.7,0.0013,-7.8,-6.8,-8.7,-7.8,,40,-7.8,12.59,0.000,,252,1.654,4.292,0.000,-1.7,-0.6,0,179.324,6,0
"2020-12-31 08:00:00",1138054,0.020,0.025,0.7199225,0.273,82,74,-10.6,-10.2,-11.0,0.1749,-7.6,-6.6,-8.1,-7.3,,18,-7.2,12.63,0.000,,213,1.207,2.503,0.000,-1.7,-0.6,49,179.324,6,0
"2020-12-31 09:00:00",1138054,0.036,0.043,1.2599481,0.313,79,74,-9.1,-8.1,-10.4,0.3220,-5.7,-4.4,-6.7,-5.9,,9.4,-5.3,13,0.000,,174,1.296,2.012,0.000,-1.7,-0.6,89,179.324,6,0
"2020-12-31 10:00:00",1138054,0.070,0.087,1.6420407,0.344,84,70,-7.9,-6.5,-8.6,0.7330,-3.8,-3.5,-4.4,-3.4,,5.5,-3.7,13.39,0.000,,228,2.727,4.381,0.000,-1.7,-0.6,204,179.324,6,0
"2020-12-31 11:00:00",1138054,0.073,0.082,1.8175226,0.405,91,84,-5.7,-5.1,-6.5,0.8805,-3.9,-3.8,-4.2,-1.8,,5.7,-3.9,14.09,0.000,,242,2.101,2.906,0.000,-1.7,-0.6,245,179.578,6,0
"2020-12-31 12:00:00",1138054,0.091,0.100,1.7792715,0.436,91,90,-4.7,-4.3,-5.2,1.1355,-3.4,-3.0,-3.9,-0.6,,5.6,-3.3,14.84,0.254,,244,1.699,2.503,0.000,-1.7,-0.6,315,179.578,6,0
"2020-12-31 13:00:00",1138054,0.093,0.102,1.528863,0.457,91,87,-4.1,-3.7,-4.4,1.1377,-2.6,-1.8,-3.1,0.7,,10,-2.4,14.76,0.000,,235,1.341,2.280,0.000,-1.6,-0.7,316,179.578,6,0
"2020-12-31 14:00:00",1138054,0.066,0.075,1.091543,0.462,88,86,-3.8,-3.6,-4.1,0.8482,-1.9,-1.7,-2.1,1.1,,13,-1.9,14.38,0.000,,228,1.743,2.682,0.000,-1.6,-0.7,236,179.578,6,0
"2020-12-31 15:00:00",1138054,0.032,0.040,0.52598243,0.452,90,86,-4.1,-3.4,-4.5,0.6164,-2.3,-1.7,-2.8,0.4,,7.3,-2.3,13.99,0.000,,253,2.548,3.174,0.000,-1.5,-0.7,171,179.578,6,0
"2020-12-31 16:00:00",1138054,0.002,0.005,0.069793963,0.444,88,85,-4.2,-3.3,-5.1,0.1886,-2.3,-1.5,-3.2,-0.6,,15,-2.4,13.33,0.000,,274,3.174,7.153,0.000,-1.4,-0.6,52,179.578,6,0
"2020-12-31 17:00:00",1138054,-0.002,-0.002,1E-6,0.438,89,85,-4.5,-4.0,-4.8,0.0173,-2.7,-2.2,-3.1,-1.6,,33,-2.6,12.96,0.000,,153,2.101,5.186,0.000,-1.4,-0.6,5,179.578,6,0
"2020-12-31 18:00:00",1138054,-0.002,-0.002,1E-6,0.450,89,86,-4.2,-3.9,-4.7,0.0002,-2.5,-2.2,-2.9,-1.9,,23,-2.4,12.89,0.000,,102,2.503,6.124,0.000,-1.3,-0.6,0,179.578,6,0
"2020-12-31 19:00:00",1138054,-0.005,-0.006,1E-6,0.422,91,88,-4.8,-3.9,-5.2,0.0001,-3.4,-2.3,-3.9,-2.3,,10,-3.6,12.87,0.000,,327,1.431,4.113,0.000,-1.3,-0.6,0,179.578,6,0
"2020-12-31 20:00:00",1138054,-0.008,-0.011,1E-6,0.402,93,89,-5.4,-4.9,-6.7,0.0001,-4.2,-3.6,-5.5,-3.4,,29,-4.4,12.84,0.000,,176,0.581,2.056,0.000,-1.3,-0.6,0,179.578,6,0
"2020-12-31 21:00:00",1138054,-0.003,-0.003,1E-6,0.376,94,91,-6.6,-5.9,-7.7,0.0001,-5.7,-5.2,-6.7,-4.8,,12,-5.6,12.81,0.000,,333,2.995,5.141,0.000,-1.3,-0.6,0,179.578,6,0
"2020-12-31 22:00:00",1138054,-0.005,-0.006,1E-6,0.397,94,93,-5.8,-5.7,-5.9,0.0001,-4.9,-4.8,-5.2,-4.3,,30,-4.9,12.78,0.000,,227,1.609,3.800,0.000,-1.3,-0.6,0,179.578,6,0
"2020-12-31 23:00:00",1138054,-0.008,-0.010,1E-6,0.400,94,91,-5.7,-5.4,-5.8,0.0001,-4.7,-4.3,-4.9,-4.1,,66,-4.6,12.76,0.000,,145,0.760,2.101,0.000,-1.3,-0.6,0,179.578,6,0
"2021-01-01 00:00:00",1138054,-0.002,-0.002,2.5E-7,0.401,93,91,-5.7,-5.6,-5.8,0.0000,-4.6,-4.4,-4.7,-3.9,,8.5,-4.6,12.75,0.000,,330,1.207,2.056,0.000,-1.3,-0.6,0,179.578,6,0
"2021-01-01 10:00:00",1138054,0.018,0.022,0.4347951,0.386,85,83,-6.2,-6.1,-6.2,0.2328,-3.8,-3.7,-3.9,-2.0,,5.5,-3.7,14.02,0.000,,62,3.532,4.694,0.000,-1.2,-0.4,259,179.578,6,0
"2021-01-01 11:00:00",1138054,0.113,0.133,1.8196623,0.386,84,76,-6.1,-5.4,-6.4,1.5880,-3.3,-2.4,-3.8,-1.0,,7.0,-3.2,14.8,0.000,,44,4.247,5.901,0.000,-1.2,-0.4,441,179.578,6,0
"2021-01-01 12:00:00",1138054,0.108,0.126,1.7853116,0.379,79,75,-6.4,-5.9,-6.9,1.3335,-2.9,-2.7,-3.2,0.4,,12,-2.9,14.8,0.000,,17,2.906,4.917,0.000,-1.2,-0.4,370,179.578,6,0
"2021-01-01 13:00:00",1138054,0.098,0.114,1.537468,0.360,76,72,-7.1,-6.5,-7.4,1.1517,-2.9,-2.8,-3.1,0.9,,17,-3.0,14.39,0.000,,108,1.833,3.398,0.000,-1.2,-0.4,320,179.578,6,0
"2021-01-01 14:00:00",1138054,0.071,0.083,1.0966593,0.368,75,71,-6.9,-6.4,-7.3,0.8723,-2.6,-2.3,-2.8,0.7,,22,-2.7,14.4,0.000,,67,1.252,3.263,0.000,-1.2,-0.4,242,179.578,6,0
