date,solar,tmax,tmin,rh,wind,evap,trans,et,rns  ,rnl,etaero,etrad
2015-01-01,17,28,21,84.4,30,0.005,3.729,3.733,13.09,1.747,0.343,3.38
2015-01-02,19,29.5,22,83.95,30,0.005,4.196,4.202,14.63,2.042,0.367,3.821
2015-01-03,19,31.5,21.5,82.45,30,0.006,4.333,4.338,14.63,2.053,0.454,3.869
2015-01-04,25,31.5,23,74.45,30,0.007,5.505,5.512,19.25,3.363,0.565,4.927
2015-01-05,29,34.5,23,59.25,30,0.008,6.457,6.466,22.33,4.913,0.915,5.526
2015-01-06,29,35,19,71.35,30,0.008,6.34,6.348,22.33,4.72,0.818,5.508
2015-01-07,27,34.5,18.5,71.05,30,0.008,5.937,5.945,20.79,4.357,0.818,5.107
2015-01-08,27,32,21,79.45,30,0.007,5.795,5.802,20.79,3.744,0.532,5.252
2015-01-09,24,31,25,83.45,30,0.007,5.326,5.333,18.48,2.634,0.362,4.951
2015-01-10,20,30,23.5,84.2,30,0.006,4.447,4.453,15.4,2.105,0.35,4.088
2015-01-11,26,30,24,79.95,30,0.007,5.587,5.594,20.02,3.302,0.419,5.155
2015-01-12,27,31,21,77.8,30,0.007,5.711,5.718,20.79,3.873,0.53,5.169
2015-01-13,28,30.5,20.5,79.8,30,0.007,5.81,5.818,21.56,4.07,0.493,5.307
2015-01-14,25,29.5,21,81.55,30,0.007,5.224,5.23,19.25,3.383,0.427,4.788
2015-01-15,26,30.5,21,82.05,30,0.007,5.476,5.483,20.02,3.519,0.444,5.021
2015-01-16,26,30.5,23,81.9,30,0.007,5.565,5.572,20.02,3.307,0.409,5.144
2015-01-17,26,30.5,22.5,80.45,30,0.007,5.546,5.554,20.02,3.429,0.443,5.092
2015-01-18,24,29.5,22.5,85.15,30,0.006,5.085,5.091,18.48,2.921,0.338,4.737
2015-01-19,24,30,23,84.2,30,0.007,5.149,5.156,18.48,2.885,0.357,4.781
2015-01-20,26,30.5,22.5,80.45,30,0.007,5.543,5.55,20.02,3.439,0.443,5.089
2015-01-21,23,30,21.5,83,30,0.006,4.918,4.924,17.71,2.89,0.405,4.504
2015-01-22,24,30.5,23.5,77.55,30,0.007,5.243,5.25,18.48,3.083,0.479,4.752
2015-01-23,27,30.5,20,77.5,30,0.007,5.613,5.62,20.79,4.064,0.542,5.062
2015-01-24,20,31,21.5,80.05,30,0.006,4.483,4.488,15.4,2.371,0.482,3.992
2015-01-25,19,31,24,83.4,30,0.006,4.339,4.344,14.63,1.911,0.377,3.952
2015-01-26,20,29,22.5,84.95,30,0.006,4.331,4.336,15.4,2.238,0.331,3.992
2015-01-27,18,30,23,87.7,30,0.005,4.019,4.025,13.86,1.739,0.295,3.716
2015-01-28,17,30.5,24.5,86.65,30,0.005,3.911,3.916,13.09,1.487,0.3,3.602
2015-01-29,17,31,24.5,85.6,30,0.005,3.951,3.956,13.09,1.496,0.329,3.612
2015-01-30,21,32,24.5,83.65,30,0.006,4.789,4.795,16.17,2.18,0.386,4.391
2015-01-31,18,32,24.5,82.6,30,0.005,4.23,4.235,13.86,1.709,0.406,3.813
2015-02-01,19,32,24.5,82.6,30,0.006,4.417,4.423,14.63,1.884,0.406,4
2015-02-02,21,32,24,81.55,30,0.006,4.783,4.789,16.17,2.31,0.433,4.338
2015-02-03,15,32.5,25,83.75,30,0.005,3.682,3.687,11.55,1.149,0.387,3.285
2015-02-04,13,32.5,24.5,83.75,30,0.004,3.292,3.296,10.01,0.844,0.396,2.887
2015-02-05,16,32,24.5,83.65,30,0.005,3.834,3.839,12.32,1.365,0.386,3.438
2015-02-06,19,32,24.5,83.65,30,0.006,4.4,4.406,14.63,1.876,0.386,4.003
2015-02-07,21,33,25,82.8,30,0.006,4.872,4.878,16.17,2.154,0.416,4.442
2015-02-08,23,31.5,25,82.5,30,0.007,5.144,5.15,17.71,2.589,0.389,4.742
2015-02-09,22,30.5,23.5,85.5,30,0.006,4.802,4.808,16.94,2.508,0.337,4.454
2015-02-10,18,28.5,23.5,84.35,30,0.005,3.96,3.965,13.86,1.907,0.32,3.633
2015-02-11,21,29,22.5,86.2,30,0.006,4.47,4.476,16.17,2.475,0.309,4.153
2015-02-12,26,31.5,21.5,79.2,30,0.007,5.539,5.546,20.02,3.712,0.51,5.017
2015-02-13,28,31.5,21,78.15,30,0.007,5.861,5.869,21.56,4.25,0.539,5.311
2015-02-14,28,32,19,73.15,30,0.007,5.818,5.826,21.56,4.751,0.683,5.126
2015-02-15,27,32.5,18.5,72.5,30,0.007,5.676,5.684,20.79,4.606,0.722,4.944
2015-02-16,26,32.5,19,75.55,30,0.007,5.521,5.528,20.02,4.183,0.661,4.85
2015-02-17,27,35.5,20,72.5,30,0.008,5.989,5.997,20.79,4.354,0.791,5.184
2015-02-18,23,34,24,68.05,30,0.007,5.327,5.333,17.71,3.277,0.728,4.584
2015-02-19,25,33.5,23,78.05,30,0.007,5.573,5.58,19.25,3.36,0.555,5.004
2015-02-20,27,34,23.5,81,30,0.008,6,6.008,20.79,3.503,0.507,5.477
2015-02-21,24,33,24,79.8,30,0.007,5.38,5.387,18.48,3.016,0.49,4.876
2015-02-22,21,31,23,75.25,30,0.006,4.676,4.682,16.17,2.814,0.539,4.127
2015-02-23,23,30,24,85.35,30,0.006,4.933,4.939,17.71,2.792,0.322,4.6
2015-02-24,24,30.5,23.5,77.55,30,0.007,5.162,5.169,18.48,3.345,0.479,4.672
2015-02-25,25,30.5,22,82.05,30,0.007,5.247,5.253,19.25,3.525,0.424,4.812
2015-02-26,27,31,21,80.05,30,0.007,5.589,5.596,20.79,4.145,0.492,5.086
2015-02-27,27,32.5,19,72.5,30,0.007,5.638,5.645,20.79,4.733,0.71,4.917
2015-02-28,25,32,21,78.4,30,0.007,5.327,5.334,19.25,3.778,0.549,4.767
2015-03-01,25,32.5,22.5,78.6,30,0.007,5.426,5.433,19.25,3.577,0.528,4.886
2015-03-02,22,31,20.5,78.95,30,0.006,4.711,4.717,16.94,3.221,0.521,4.181
2015-03-03,21,32.5,22,78.6,30,0.006,4.696,4.702,16.17,2.833,0.539,4.147
2015-03-04,16,27.5,24,88.1,30,0.004,3.476,3.48,12.32,1.626,0.233,3.236
2015-03-05,13,27,22.5,89.3,30,0.004,2.88,2.884,10.01,1.109,0.22,2.656
2015-03-06,16,28,22,85.7,30,0.004,3.471,3.476,12.32,1.783,0.306,3.16
2015-03-07,18,29.5,22.5,85.15,30,0.005,3.916,3.921,13.86,2.134,0.338,3.57
2015-03-08,20,29.5,23,86.4,30,0.005,4.266,4.272,15.4,2.466,0.308,3.95
2015-03-09,17,29.5,23.5,86.4,30,0.005,3.748,3.753,13.09,1.86,0.3,3.44
2015-03-10,14,28,23.5,88.35,30,0.004,3.116,3.12,10.78,1.301,0.24,2.87
2015-03-11,12,29,23.5,87.45,30,0.004,2.819,2.823,9.24,0.912,0.272,2.541
2015-03-12,18,29,23,86.2,30,0.005,3.87,3.875,13.86,2.152,0.302,3.561
2015-03-13,11,29,23,86.2,30,0.003,2.652,2.655,8.47,0.76,0.302,2.345
2015-03-14,21,29,22,84.95,30,0.006,4.352,4.358,16.17,2.92,0.339,4.006
2015-03-15,20,30,23,85.35,30,0.005,4.277,4.282,15.4,2.577,0.337,3.931
2015-03-16,15,29,23.5,87.45,30,0.004,3.332,3.336,11.55,1.546,0.272,3.053
2015-03-17,8,26.5,22.5,91.9,30,0.002,1.947,1.949,6.16,0.182,0.167,1.777
2015-03-18,8,26,21.5,91.65,30,0.002,1.931,1.933,6.16,0.196,0.175,1.753
2015-03-19,16,28.5,23,87.25,30,0.004,3.458,3.462,12.32,1.834,0.274,3.177
2015-03-20,21,30.5,21,82.05,30,0.006,4.41,4.416,16.17,3.163,0.444,3.958
2015-03-21,23,31,21.5,82.3,30,0.006,4.793,4.799,17.71,3.544,0.443,4.34
2015-03-22,18,31,23,84.5,30,0.005,3.966,3.971,13.86,2.263,0.375,3.583
2015-03-23,22,31.5,24,83.55,30,0.006,4.744,4.75,16.94,3,0.386,4.347
2015-03-24,18,30,23.5,84.2,30,0.005,3.91,3.915,13.86,2.308,0.35,3.552
2015-03-25,20,28.5,23,85.85,30,0.005,4.121,4.126,15.4,2.81,0.299,3.815
2015-03-26,20,29.5,22,83.95,30,0.005,4.158,4.164,15.4,2.937,0.367,3.783
2015-03-27,25,30,20.5,79.45,30,0.006,4.961,4.967,19.25,4.466,0.485,4.468
2015-03-28,23,30,20.5,81.8,30,0.006,4.627,4.633,17.71,3.897,0.445,4.174
2015-03-29,23,29.5,20.5,82.75,30,0.006,4.577,4.583,17.71,3.905,0.416,4.154
2015-03-30,22,30,21,81.8,30,0.006,4.47,4.476,16.94,3.651,0.435,4.027
2015-03-31,23,30,20.5,81.8,30,0.006,4.603,4.609,17.71,3.975,0.445,4.15
2015-04-01,23,30.5,21,80.9,30,0.006,4.657,4.663,17.71,3.959,0.464,4.185
2015-04-02,22,30.5,21,82.05,30,0.006,4.484,4.49,16.94,3.692,0.444,4.031
2015-04-03,21,30,22,84.2,30,0.005,4.304,4.31,16.17,3.304,0.375,3.922
2015-04-04,22,29.5,21,77.35,30,0.006,4.411,4.416,16.94,4.001,0.498,3.905
2015-04-05,20,30,19.5,78.3,30,0.005,4.078,4.083,15.4,3.597,0.525,3.547
2015-04-06,21,29.5,20.5,80.3,30,0.005,4.209,4.214,16.17,3.725,0.457,3.745
2015-04-07,22,29.5,20,80.3,30,0.006,4.336,4.342,16.94,4.067,0.467,3.862
2015-04-08,17,29,21.5,82.45,30,0.005,3.553,3.557,13.09,2.619,0.39,3.156
2015-04-09,19,28.5,21.5,84.7,30,0.005,3.814,3.818,14.63,3.081,0.34,3.467
2015-04-10,18,29,22,83.7,30,0.005,3.703,3.708,13.86,2.827,0.361,3.336
2015-04-11,18,28,22,85.7,30,0.005,3.619,3.624,13.86,2.83,0.306,3.308
2015-04-12,19,28.5,21,84.7,30,0.005,3.775,3.78,14.63,3.2,0.349,3.42
2015-04-13,22,29,21,83.7,30,0.005,4.273,4.278,16.94,4.002,0.378,3.888
2015-04-14,20,28.5,19.5,83.4,30,0.005,3.871,3.876,15.4,3.709,0.399,3.467
2015-04-15,14,27,22.5,87.4,30,0.004,2.907,2.911,10.78,1.902,0.253,2.65
2015-04-16,15,26,22,91.65,30,0.004,2.952,2.956,11.55,2.133,0.17,2.778
2015-04-17,13,27,21.5,86.45,30,0.003,2.731,2.734,10.01,1.759,0.281,2.446
2015-04-18,19,28,19.5,84.4,30,0.005,3.649,3.654,14.63,3.534,0.369,3.275
2015-04-19,20,27.5,20.5,84.05,30,0.005,3.79,3.795,15.4,3.774,0.346,3.439
2015-04-20,19,28,21,83.05,30,0.005,3.689,3.694,14.63,3.497,0.366,3.318
2015-04-21,18,27,21,86.45,30,0.004,3.447,3.452,13.86,3.182,0.288,3.155
2015-04-22,14,28,21.5,87.05,30,0.004,2.899,2.903,10.78,2.064,0.289,2.605
2015-04-23,17,27.5,21.5,85.4,30,0.004,3.336,3.34,13.09,2.936,0.308,3.023
2015-04-24,17,28,19.5,84.4,30,0.004,3.311,3.315,13.09,3.14,0.369,2.937
2015-04-25,15,28.5,21.5,83.4,30,0.004,3.095,3.099,11.55,2.466,0.363,2.727
2015-04-26,17,27,23,70,30,0.004,3.441,3.446,13.09,3.472,0.556,2.88
2015-04-27,16,26,21.5,82.5,30,0.004,3.1,3.104,12.32,2.919,0.333,2.763
2015-04-28,15,26,21,83.95,30,0.004,2.924,2.928,11.55,2.648,0.313,2.608
2015-04-29,18,28,21,83.05,30,0.004,3.468,3.472,13.86,3.469,0.366,3.097
2015-04-30,18,27,22,89.3,30,0.004,3.395,3.4,13.86,3.22,0.225,3.165
2015-05-01,16,28.5,22.5,86,30,0.004,3.212,3.216,12.32,2.708,0.303,2.903
2015-05-02,17,27,22.5,90.7,30,0.004,3.237,3.242,13.09,2.912,0.195,3.037
2015-05-03,18,29,21,86.2,30,0.004,3.483,3.487,13.86,3.404,0.335,3.142
2015-05-04,17,29,20.5,84.95,30,0.004,3.32,3.324,13.09,3.247,0.366,2.949
2015-05-05,14,28.5,20,82.15,30,0.004,2.865,2.868,10.78,2.54,0.41,2.451
2015-05-06,16,28.5,20.5,84.7,30,0.004,3.131,3.135,12.32,3.039,0.358,2.769
2015-05-07,17,28.5,21.5,84.7,30,0.004,3.297,3.301,13.09,3.258,0.34,2.951
2015-05-08,17,28.5,21.5,84.7,30,0.004,3.29,3.294,13.09,3.283,0.34,2.944
2015-05-09,17,27.5,21.5,85.4,30,0.004,3.218,3.222,13.09,3.333,0.308,2.905
2015-05-10,15,28,21,85.7,30,0.004,2.937,2.94,11.55,2.786,0.321,2.612
2015-05-11,16,29,21.5,84.95,30,0.004,3.152,3.156,12.32,3.033,0.347,2.799
2015-05-12,8,27,22.5,71.2,30,0.003,2.115,2.117,6.16,0.885,0.537,1.574
2015-05-13,17,25,20.5,54.8,30,0.004,3.176,3.18,13.09,4.867,0.793,2.379
2015-05-14,20,25.5,18.5,62.1,30,0.004,3.417,3.421,15.4,5.9,0.691,2.722
2015-05-15,19,25.5,20,77.15,30,0.004,3.305,3.309,14.63,4.714,0.429,2.872
2015-05-16,18,26,21,77,30,0.004,3.238,3.242,13.86,4.292,0.431,2.803
2015-05-17,16,26.5,18,83.2,30,0.004,2.883,2.887,12.32,3.646,0.38,2.501
2015-05-18,18,27,20.5,85.05,30,0.004,3.227,3.232,13.86,3.997,0.319,2.904
2015-05-19,16,26,20,85.7,30,0.004,2.876,2.879,12.32,3.461,0.295,2.577
2015-05-20,17,27,19,86.45,30,0.004,3.026,3.03,13.09,3.824,0.321,2.702
2015-05-21,13,26,20,87.2,30,0.003,2.458,2.462,10.01,2.497,0.27,2.186
2015-05-22,10,26,22,90.15,30,0.003,2.048,2.051,7.7,1.43,0.196,1.85
2015-05-23,6,24,22,92.8,30,0.002,1.395,1.397,4.62,0.264,0.13,1.264
2015-05-24,8,24.5,22,91.5,30,0.002,1.698,1.7,6.16,0.873,0.156,1.54
2015-05-25,11,26,20.5,85.5,30,0.003,2.205,2.208,8.47,1.925,0.292,1.911
2015-05-26,15,26.5,20,86.1,30,0.003,2.73,2.733,11.55,3.241,0.298,2.428
2015-05-27,18,27.5,20,84.05,30,0.004,3.185,3.189,13.86,4.273,0.354,2.826
2015-05-28,17,28.5,19,83.4,30,0.004,3.085,3.089,13.09,4.05,0.409,2.672
2015-05-29,17,29,20.5,83.7,30,0.004,3.155,3.159,13.09,3.867,0.387,2.764
2015-05-30,17,28,19,81.75,30,0.004,3.049,3.053,13.09,4.177,0.423,2.623
2015-05-31,9,26.5,20,86.1,30,0.002,1.936,1.938,6.93,1.334,0.298,1.635
2015-06-01,15,26.5,21.5,87.55,30,0.003,2.734,2.737,11.55,3.162,0.254,2.476
2015-06-02,14,26.5,20,86.1,30,0.003,2.569,2.572,10.78,3.02,0.298,2.268
2015-06-03,11,25,20,85.5,30,0.003,2.125,2.127,8.47,2.083,0.281,1.841
2015-06-04,11,26.5,19.5,86.1,30,0.003,2.174,2.177,8.47,2.065,0.306,1.865
2015-06-05,16,26.5,19,81.8,30,0.004,2.808,2.812,12.32,3.983,0.385,2.42
2015-06-06,19,23.5,14.5,61.85,30,0.004,2.893,2.896,14.63,6.542,0.686,2.206
2015-06-07,17,24.5,11.5,74.4,30,0.003,2.67,2.673,13.09,5.38,0.587,2.083
2015-06-08,19,26,13,75.3,30,0.004,2.964,2.968,14.63,6.083,0.59,2.373
2015-06-09,19,26.5,14.5,77.45,30,0.004,3.022,3.026,14.63,5.835,0.541,2.479
2015-06-10,18,27,16,80.85,30,0.004,2.974,2.978,13.86,5.12,0.472,2.5
2015-06-11,17,27.5,16.5,79.95,30,0.004,2.908,2.912,13.09,4.711,0.49,2.416
2015-06-12,18,27,17,82.25,30,0.004,2.99,2.993,13.86,4.971,0.428,2.559
2015-06-13,11,25.5,19.5,86.8,30,0.003,2.102,2.105,8.47,2.144,0.274,1.826
